,points
ENVIRONMENTAL QUALITY COUNCIL,509
"ATLANTIC SHORE LINE, COMM ON PROTECTION AND PRESERVATION OF",509
Brooklyn Public Library,509
ALBION COLLEGE,509
"ELECTRIC COOPERATIVE ASSOCIATION, NATIONAL RURAL",509
DEFENSE COLLEGE,509
California Institute of Technology,509
"WATER POLLUTION CONTROL ADMINISTRATION, FEDERAL",509
World Affairs Council of Philadelphia,509
HAZEL TOWERS,509
WORCESTER CHAMBER OF COMMERCE,509
"WORLD AFFAIRS COUNCIL, LOS ANGELES",509
INDUSTRIAL RELATIONS RESEARCH ASSN,509
PUBLIC AFFAIRS COMMITTEE,509
"PARKWAY AUTHORITY, JONES BEACH STATE",509
Police Academy,509
CHESAPEAKE & OHIO RY CO.,509
CLARK COLLEGE,509
ARTHRITIS FOUNDATION,509
CITIZENS UNION OF THE CITY OF NY,509
LIRR,509
WESTERN OPERA THEATER,509
"JUDICIAL CENTER, FEDERAL",509
Thomas More College,509
"REPUBLICAN CLUB, WOMEN'S NATIONAL",509
"PAPERBOARD ASSN, NATIONAL",509
"INTELLIGENCE AGENTS, SOUTHERN ASSN OF",509
TULANE UNIV.,509
BLIND BROOK POLO CLUB,509
"MAGAZINE EDITORS, AMERICAN SOCIETY OF",509
"TRAVEL SERVICE, US",509
Virginia Military Institute,509
86TH STREET CORP.,509
AMNESTY INTERNATIONAL,509
PHILIP MORRIS INC.,509
METRO-GOLDWYN-MAYER INC.,508
"BUFFALO, STATE UNIV OF NY AT",508
SHOMRIM SOC,508
ECONOMIC DEVELOPMENT ADMINISTRATION,508
ABANDONED PROPERTY FUND,508
AMERICAN CAN CO.,508
REVIEW BOARD,508
"INTERGOVERNMENTAL RELATIONS, OFFICE OF",508
APPEALS COURTS,508
ITT HAMILTON LIFE INSURANCE CO,508
"SOCIOLOGICAL ASSN, AMERICAN",508
"FLORIDA, UNIV OF",508
"LABOR STATISTICS, BUREAU OF",508
MARITIME ADMINISTRATION,508
OPERA SOCIETY OF WASHINGTON,508
"ASIAN STUDIES, ASSN FOR",508
"LOCOMOTIVE FIREMEN AND ENGINEMEN, BROTHERHOOD OF",508
"BAR COUNCIL, FEDERAL",508
"UNITED NATIONS, US COMMITTEE FOR THE",508
"HOMO LOAN BANK SYSTEM, FEDERAL",508
"HEALTH EDUCATORS, INSTITUTE FOR",508
"WRITERS CLUB, OVERSEAS",508
"SOUTHERN ILLINOIS, UNIV OF",508
Young Lords,508
CHRYSLER CREDIT CORP.,508
KUHN LOEB & CO.,508
"CHAMBERS OF COMMERCE, COUNCIL OF STATE",508
BEDFORD-STUYVESANT RENEWAL AND REHABILITATION CORP.,508
LITTON INDUSTRIES INC.,508
Investment Company Institute,508
"TAX JUSTICE, NATIONAL COMMITTEE ON",508
"INCOME MAINTENANCE, COMMISSION ON",508
EUROPE,508
SEOUL UNIVERSITY,508
BANK OF MIAMI BEACH,508
AMERICAN HISTORICAL ASSN.,508
NEW YORK CITY COMMUNITY COLLEGE OF APPLIED ARTS AND SCIENCES,508
MIAMI UNIV,508
"HUMAN RIGHTS, COMM ON",508
"PRIESTS COUNCILS, NATIONAL FEDERATION OF",508
"GISCARD D'ESTAING, VALERY",508
"JURIDICAL ASSN, INTERNATIONAL",508
"HEALTH MANPOWER, NATL ADVISORY COM ON",508
ST GEORGE ASSN,508
BETHPAGE PARK AUTHORITY,508
"CIVIL DISORDERS, PRESIDENT'S NATIONAL ADVISORY COMMISSION ON",508
"RETAIL MERCHANTS ASSN, ILLINOIS",508
EXPORT-IMPORT BANK OF WASHINGTON,508
"CAMPUS UNREST, PRESIDENTIAL COMMISSION ON",508
Kansas State University,508
CHRYSLER,508
"TARIFF COMMISSION, US",508
"BUDGET CONCEPTS, PRESIDENT'S COMMITTEE ON",507
"BANKERS ASSN, CALIFORNIA",507
"ARTS, NATIONAL COUNCIL OF THE",507
"CAHILL, WM T.",507
"BREWERS ASSN, US",507
GLASSBORO STATS COLLEGE,507
"PRODUCTIVITY, NATIONAL COMMISSION ON",507
"AUTO THEFT BUREAU, NATIONAL",507
"HEART RESEARCH, STATE INSTITUTE FOR",507
"JOB DEVELOPMENT AUTHORITY, NYS",507
"DIRECTORS, INSTITUTE OF",507
"RADIO AND TELEVISION ASSN, HOLLYWOOD",507
"SPANISH-SPEAKING CITIZENS, CABINET COMMITTEE ON OPPORTUNITIES FOR",507
AMUN-ISRAELI HOUSING CORP.,507
PENNSYLVANIA RAILROAD CO.,507
"URBAN PROBLEMS, NATIONAL COMMISSION ON",507
ITT LEVITT & SONS INC.,507
"LOCOMOTIVE ENGINEERS, BROTHERHOOD OF",507
San Diego Opera,507
SURROGATES CT,507
WEBSTER COLLEGE,507
ENGLISH-SPEAKING UNION OF THE COMMONWEALTH,507
"WASHINGTON, UNIV OF",507
United States Merchant Marine Academy,507
Freer Gallery of Art,507
TRIANGLE PUBLICATIONS INC.,507
BUDGET BUREAU,507
"ECONOMIC POLICY, COUNCIL ON",507
ALLIANCE FOR PROGRESS,507
"EDUC, OFFICE OF",507
BILTMORE HOTEL,507
"SALESMEN'S ORGANIZATIONS, NATIONAL COUNCIL OF",507
"DEMOCRATIC CLUBS OF AMERICA, YOUNG",507
"SCHAPIRO, M A, & CO.",507
"EMPLOYMENT OPPORTUNITY COMM, EQUAL",507
"AVIATION AGENCY, FED",507
BEAUTY AND BARBER SUPPLY INSTITUTE,507
Colgate University,507
BUSINESS EQUIPMENT MFRS ASSN.,506
"DEM PARTY - JOHNSON DENIES RIFT WITH KENNEDY - MD, WIS, IND PRIMARY CAMPAIGNS AND WALLACE ROLE",506
DEM PARTY - MANEUVERING FOR VICE PRES NOMINATION,506
CIVIL RIGHTS MOVEMENT AND PROBLEMS - NEW CIVIL RIGHTS LEGIS PROPOSED,506
"PROSPERITY, COMMITTEE FOR A NEW",506
BOSTON OPERA,506
"INTELLIGENCE AGENCY, DEFENSE",506
MEDAL OF HONOR SOCIETY,506
"TRANSPORTATION UNION, UNITED",506
"RENTS AND RENTAL CONDITIONS, TEMPORARY STATE COMM TO STUDY",506
DEVELOPMENT & SERVICES CORP.,506
REPUB PARTY - GOLDWATER IN CONTROL,506
ROYALL KOEGEL & WELLS,506
EXPORT‐IMPORT BANK OF WASHINGTON,506
CIVIL SERVICE,506
"STANDARDS, NATIONAL BUREAU OF",506
CRIMINAL JUSTICE DEPARTMENT,506
"LABOR COUNCIL, UNITED ITALIAN AMERICAN",506
AVIS RENT-A-CAR SYSTEM INC.,506
NEW YORK CENTRAL RR CO.,506
Small Business Administration,506
General Services Administration,506
CIVIL RIGHTS MOVEMENT AND PROBLEMS - CIVIL RIGHTS LEGIS ASKED BY PRES JOHNSON,506
"RURAL POVERTY, PRESIDENT'S NATIONAL ADVISORY COMMISSION ON",506
Living Theater,506
"POWER COMM, FED",506
DAY CARE COUNCIL OF NY,505
LOWELL TECHNOLOGICAL INSTITUTE,505
"SOCIAL SCIENCE ASSNS, ALLIED",505
NEW ENGLAND REGIONAL COMMISSION,505
CENTER OPERA OF MINNEAPOLIS,505
"PENSION AND RETIREMENT SYSTEMS, PERMANENT COMMISSION ON PUBLIC EMPLOYE",505
Ithaca College,505
ST JOHN'S HOSPITAL,505
TRUSTEESHIP COM,505
"PRODUCT SAFETY, NATIONAL COMMISSION ON",505
"SERVICE CORPS, NATIONAL",505
INTERN REVENUE SERVICE,504
WESTERN ELECTRIC CO.,504
FOUR CORNERS REGIONAL COMMISSION,504
"INSTITUTIONS AND AGENCIES, DEPARTMENT OF",504
"ECONOMIC POLICY, COUNCIL ON INTERNATIONAL",504
MIZRACHI WOMEN'S ORGANIZATION OF AMERICA,504
Correctional Services Department,504
ERP,504
COMMODORE HOTEL,504
"ATOMIC RESEARCH AND DEVELOPMENT AUTHORITY, NYS",503
John Jay College of Criminal Justice,503
GREAT SOCIETY,503
"ACCOUNTING OFFICE, GENERAL",503
NEW YORK CITY CONVENTION AND EXHIBITION CENTER CORP,503
"VETERANS OF WORLD WAR II AND KOREA, AMERICAN",503
"TECHNOLOGY, AUTOMATION AND ECONOMIC PROGRESS, NATIONAL COMMISSION ON",503
"GREAT LAKES REGIONAL COMMISSION, UPPER",503
BARCLAY HOTEL,503
"COURTS, COMMITTEE FOR MODERN",503
"MARYLAND, UNIVERSITY OF",503
PAROLE COMM,503
JOHNSON ADM - TRANSITION FROM KENNEDY ADM TO JOHNSON ADM,503
PUBLIC LAND LAW REVIEW COMMISSION,503
CIVIL SERVICE COMMISSION,503
UNION OIL CO OF CALIFORNIA,503
Cooper Union for the Advancement of Science and Art,503
Boston Ballet,502
Continental Airlines,502
OZARKS REGIONAL COMMISSION,502
"DISCRIMINATION, STATE COMM AGAINST",502
COASTAL PLAINS REGIONAL COMMISSION,501
"PERSONNEL, DEPARTMENT OF",501
UNITED STATES PLYWOOD-CHAMPION PAPERS INC.,501
"HIGHWAY TRAFFIC SAFETY ADMINISTRATION, NATIONAL",501
Forest Service,500
FINANCE ADMINISTRATION,499
"AERONAUTICS AND SPACE COUNCIL, NATIONAL",498
CIVIL DEFENSE COMMISSION,498
"CHILDREN, NATIONAL ADVISORY COUNCIL ON EDUCATION OF DISADVANTAGED",498
"CHILDREN, NATL ADVISORY COUNCIL ON EDUC OF DISADVANTAGED",497
CD ADVISORY COUNCIL,496
"TRANSPORTATION SAFELY BOARD, NATIONAL",496
"TECH, AUTOMATION AND ECON PROGRESS, NATL COMM ON",495
AIR FORCE DEPT,494
"ROODS, BUREAU OF PUBLIC",493
ST LAWRENCE SEAWAY DEVELOPMENT CORPORATION,489
GREAT LAKES PILOTAGE ADMINISTRATION,488
MENTAL HYGIENE DEPARTMENT,481
HOUSING DEVELOPMENT CORP.,479
